1683722545.801202 client started (300290): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1683722545.801261 on Linux 6.2.0-76060200-generic #202302191831~1677858327~22.04~3cea1be SMP PREEMPT_DYNAMIC Fri M
1683722545.804809 sending message 105 to peer 0x556a52d9eed0 (19 bytes)
1683722545.804816 sending message 105 to peer 0x556a52d9eed0 (23 bytes)
1683722545.804822 sending message 105 to peer 0x556a52d9eed0 (48 bytes)
1683722545.804829 sending message 105 to peer 0x556a52d9eed0 (23 bytes)
1683722545.804835 sending message 105 to peer 0x556a52d9eed0 (16 bytes)
1683722545.804841 sending message 105 to peer 0x556a52d9eed0 (44 bytes)
1683722545.804848 sending message 105 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804855 sending message 105 to peer 0x556a52d9eed0 (134 bytes)
1683722545.804862 sending message 105 to peer 0x556a52d9eed0 (82 bytes)
1683722545.804873 sending message 105 to peer 0x556a52d9eed0 (47 bytes)
1683722545.804880 sending message 105 to peer 0x556a52d9eed0 (31 bytes)
1683722545.804886 sending message 105 to peer 0x556a52d9eed0 (23 bytes)
1683722545.804893 sending message 105 to peer 0x556a52d9eed0 (11 bytes)
1683722545.804900 sending message 105 to peer 0x556a52d9eed0 (17 bytes)
1683722545.804906 sending message 105 to peer 0x556a52d9eed0 (26 bytes)
1683722545.804913 sending message 105 to peer 0x556a52d9eed0 (41 bytes)
1683722545.804919 sending message 105 to peer 0x556a52d9eed0 (24 bytes)
1683722545.804926 sending message 105 to peer 0x556a52d9eed0 (20 bytes)
1683722545.804932 sending message 105 to peer 0x556a52d9eed0 (33 bytes)
1683722545.804939 sending message 105 to peer 0x556a52d9eed0 (41 bytes)
1683722545.804945 sending message 105 to peer 0x556a52d9eed0 (19 bytes)
1683722545.804952 sending message 105 to peer 0x556a52d9eed0 (19 bytes)
1683722545.804958 sending message 105 to peer 0x556a52d9eed0 (15 bytes)
1683722545.804965 sending message 105 to peer 0x556a52d9eed0 (52 bytes)
1683722545.804975 sending message 105 to peer 0x556a52d9eed0 (24 bytes)
1683722545.804983 sending message 105 to peer 0x556a52d9eed0 (18 bytes)
1683722545.804989 sending message 105 to peer 0x556a52d9eed0 (34 bytes)
1683722545.804996 sending message 105 to peer 0x556a52d9eed0 (178 bytes)
1683722545.805003 sending message 105 to peer 0x556a52d9eed0 (42 bytes)
1683722545.805010 sending message 105 to peer 0x556a52d9eed0 (40 bytes)
1683722545.805016 sending message 105 to peer 0x556a52d9eed0 (39 bytes)
1683722545.805023 sending message 105 to peer 0x556a52d9eed0 (16 bytes)
1683722545.805029 sending message 105 to peer 0x556a52d9eed0 (37 bytes)
1683722545.805036 sending message 105 to peer 0x556a52d9eed0 (28 bytes)
1683722545.805043 sending message 105 to peer 0x556a52d9eed0 (11 bytes)
1683722545.805049 sending message 105 to peer 0x556a52d9eed0 (8 bytes)
1683722545.805056 sending message 105 to peer 0x556a52d9eed0 (32 bytes)
1683722545.805062 sending message 105 to peer 0x556a52d9eed0 (16 bytes)
1683722545.805069 sending message 105 to peer 0x556a52d9eed0 (20 bytes)
1683722545.805078 sending message 105 to peer 0x556a52d9eed0 (28 bytes)
1683722545.805085 sending message 105 to peer 0x556a52d9eed0 (20 bytes)
1683722545.805092 sending message 105 to peer 0x556a52d9eed0 (73 bytes)
1683722545.805099 sending message 105 to peer 0x556a52d9eed0 (45 bytes)
1683722545.805105 sending message 105 to peer 0x556a52d9eed0 (63 bytes)
1683722545.805112 sending message 105 to peer 0x556a52d9eed0 (90 bytes)
1683722545.805118 sending message 105 to peer 0x556a52d9eed0 (64 bytes)
1683722545.805125 sending message 105 to peer 0x556a52d9eed0 (19 bytes)
1683722545.805132 sending message 105 to peer 0x556a52d9eed0 (21 bytes)
1683722545.805138 sending message 105 to peer 0x556a52d9eed0 (26 bytes)
1683722545.805145 sending message 105 to peer 0x556a52d9eed0 (20 bytes)
1683722545.805152 sending message 105 to peer 0x556a52d9eed0 (1519 bytes)
1683722545.805192 sending message 106 to peer 0x556a52d9eed0 (0 bytes)
1683722545.805206 sending message 200 to peer 0x556a52d9eed0 (4 bytes)
1683722545.805213 client loop enter
1683722545.805274 client_signal: Child exited
1683722545.902036 peer 0x556a52d9eed0 message 207
1683722545.902052 sending message 208 to peer 0x556a52d9eed0 (0 bytes)
1683722553.009527 peer 0x556a52d9eed0 message 203
1683722553.009539 sending message 205 to peer 0x556a52d9eed0 (0 bytes)
1683722553.010207 peer 0x556a52d9eed0 message 204
1683722553.010218 client loop exit
